name,price,socket,form_factor,max_memory,memory_slots,color
ASRock H670 PG Riptide,,LGA1700,ATX,128,4,Black
ASRock B760M Pro RS/D4,129.99,LGA1700,Micro ATX,128,4,Silver / Black
Asus TUF GAMING B660M-PLUS WIFI D4,201.16,LGA1700,Micro ATX,128,4,Black / Orange
MSI MAG B550M MORTAR MAX WIFI,,AM4,Micro ATX,128,4,Silver / Black
Gigabyte B450M DS3H V2,157.0,AM4,Micro ATX,128,4,Black
Gigabyte H410M H V2,,LGA1200,Micro ATX,64,2,Gray / Black
ASRock B365M-HDV,67.5,LGA1151,Micro ATX,32,2,Black / Silver
Asus ROG MAXIMUS Z790 EXTREME,,LGA1700,EATX,128,4,Black
ASRock B450 Pro4 R2.0,119.99,AM4,ATX,128,4,Black
Asus TUF GAMING B650-PLUS,,AM5,ATX,128,4,Black / Orange
MSI MPG Z690 FORCE WIFI,309.99,LGA1700,ATX,128,4,Silver / Black
Gigabyte B650 AERO G,239.99,AM5,ATX,128,4,Black / Silver
Asus ROG Strix X570-E Gaming,,AM4,ATX,128,4,Black
Asus Prime Z590-P WiFi,140.97,LGA1200,ATX,128,4,Black / Silver
Asus ROG STRIX B450-F GAMING II,,AM4,ATX,128,4,Black
Asus TUF GAMING A620M-PLUS WIFI,149.99,AM5,Micro ATX,128,4,Black / Orange
ASRock B760M-ITX/D4 WiFi,184.18,LGA1700,Mini ITX,64,2,Silver / Black
Asus TUF GAMING B450-PLUS II,,AM4,ATX,128,4,Black
Gigabyte A620M S2H,86.99,AM5,Micro ATX,96,2,Gray / Black
ASRock H610M-ITX/ac,151.04,LGA1700,Mini ITX,64,2,Silver / Black
Asus ROG STRIX Z690-I GAMING WIFI,339.0,LGA1700,Mini ITX,64,2,Black / Silver
Gigabyte Z690 GAMING X DDR4,227.38,LGA1700,ATX,128,4,Black / Gray
Gigabyte X570 I AORUS PRO WIFI,369.0,AM4,Mini ITX,64,2,Black / Silver
Asus PRIME Z790M-PLUS D4,189.0,LGA1700,Micro ATX,128,4,Black / Silver
Gigabyte A520M H,87.69,AM4,Micro ATX,64,2,Black
ASRock B650E STEEL LEGEND WIFI,229.99,AM5,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z690 HERO,397.99,LGA1700,ATX,128,4,Black / Silver
Asus PRIME B450M-A,199.0,AM4,Micro ATX,64,4,Black
Intel DQ45EK,92.99,LGA775,Mini ITX,4,2,Green / Blue
Gigabyte B560M DS3H V2,,LGA1200,Micro ATX,128,4,Black
