name,price,rpm,noise_level,color,size
Thermalright Silver Soul 110,29.9,2500,23,White,
Corsair H115i RGB PLATINUM,279.0,2000,37,Black / Silver,280.0
Cooler Master MasterLiquid Lite 120,,"[650, 2000]","[6, 30]",,120.0
Asus ROG STRIX LC II,119.99,"[800, 2500]",37.6,Black,240.0
Deepcool GAMMAXX 400 V2,,"[500, 1650]",,Black / Blue,
Thermalright SI-100,26.9,2000,27.7,Blue,
Enermax LIQMAX III 240 ARGB,44.99,"[500, 1600]","[14, 27]",White / Black,240.0
Thermalright Frozen Magic 240,,1500,25.6,Black,240.0
Deepcool GAMMAXX L240 A-RGB,155.46,"[500, 1800]",30,Black,240.0
be quiet! Dark Rock TF 2,85.9,1400,,Black,
Asus ROG RYUJIN II,252.0,"[450, 2000]",29.7,Black,240.0
ID-COOLING FROSTFLOW X 240 LITE,,"[700, 1800]","[15.2, 35.2]",Black,240.0
ARCTIC Freezer A35 A-RGB,36.29,"[200, 1700]",,Black,
ID-COOLING SE-226-XT,49.99,"[500, 1500]","[13.8, 30.5]",Black,
Corsair H60,,2000,30.85,,120.0
Scythe Ninja 5,64.99,"[300, 800]","[4, 14.5]",Black,
Gigabyte AORUS WATERFORCE 240,,"[950, 2150]","[16.9, 31]",Black,240.0
Cooler Master MasterAir MA612 Stealth ARGB,104.99,"[650, 1800]","[8, 27]",,
NZXT T120,49.99,"[500, 1800]","[17.9, 30.6]",White,
Thermaltake TH360 ARGB Sync,137.0,1500,28.2,White,360.0
Scythe Mugen 5 Rev.C,,"[300, 1500]","[4, 28.6]",Black / Silver,
Cooler Master MasterLiquid ML240 Illusion,129.09,"[650, 1800]","[6, 30]",White,240.0
Noctua NH-U9DXi4,65.99,"[300, 1600]","[13.1, 17.6]",,
Scythe FUMA 2,,"[300, 1200]","[2.7, 24.9]",Black / Silver,
Asus ROG STRIX LC II,169.99,"[800, 2500]",37.6,Black,360.0
Deepcool LE500,,"[500, 2250]",,Black,240.0
Corsair H100i PRO RGB,,2400,37,Black,240.0
Thermalright Silver Soul 135,34.9,1850,29.6,Black,
Vetroo V360,109.99,"[800, 1800]",,Black,360.0
Cooler Master I30,13.55,2600,28,Black / Silver,
Thermalright AXP90-X47,22.9,2700,22.4,Gray,
ID-COOLING IS-47-XT,34.99,"[800, 2800]",32.5,Black,
ID-COOLING SE-224-XT Basic,,"[700, 1800]","[15.2, 32.5]",Black / Gray,
Gigabyte AORUS WATERFORCE 280,179.99,"[950, 2150]","[17.1, 36.5]",Black,280.0
Deepcool GAMMAXX L240 V2,,"[500, 1800]",30,Black / White,240.0
NZXT Kraken X62,,"[500, 1800]","[21, 38]",,280.0
NZXT Kraken 280 RGB,179.99,"[500, 1500]",34.48,Black,280.0
Noctua NH-U14S TR4-SP3,98.58,"[300, 1500]","[19.2, 24.6]",,
Cooler Master MASTERLIQUID PL360 FLUX,113.59,,32,White,360.0
Cooler Master MasterLiquid 360L Core,104.57,"[350, 1750]",27.2,White,360.0
Enermax AQUAFUSION ADV 360,105.99,"[500, 2000]","[15, 32.6]",Black,360.0
EVGA CLC 120 CL11,53.99,1800,32.1,,120.0
Deepcool CASTLE 360EX A-RGB,,"[500, 1800]",30,Black,360.0
Thermaltake TH240 ARGB Sync,109.99,1500,28.2,Black,240.0
Lian Li GALAHAD AIO 240 RGB,195.0,"[800, 1900]",,White / Silver,240.0
Thermaltake TH360 ARGB Sync,173.87,1500,28.2,Black,360.0
Thermaltake TH420 ARGB Sync,104.99,"[500, 1800]",34.7,Black,420.0
Thermaltake TOUGHLIQUID Ultra,195.99,"[500, 2500]",28.1,Black,360.0
Phanteks Glacier One 360 T30 Gen2,,"[1200, 3000]","[11.1, 39.7]",Black / Gray,360.0
Cooler Master MasterLiquid PL360 FLUX,175.55,,32,Black,360.0
Deepcool CASTLE 240EX WHITE,,"[500, 1800]",32.1,White / Black,240.0
MSI MEG CORELIQUID S280,187.34,,24.9,Black,280.0
Jonsbo CR-1000,29.99,"[700, 1800]","[20.55, 37.2]",Black,
